Census,CountyOrigin,MunicipalityOrigin,DestinationState,DestinationCounty,DestinationMunicipality,LeavingArea,DirectionalCategories,InTown,ModeToWork,TotalEstCommutersOUT,InCityCommutersOUT,OutOfTownCommutersOUT,MarginOfError
2011-2015,Mercer County,East Windsor township,Arizona,Maricopa County,Phoenix,out of state,Other area location,out-of-town,Data-not-available,8,0,8,15
2011-2015,Mercer County,Lawrence township,Arizona,Maricopa County,Phoenix,out of state,Other area location,out-of-town,Data-not-available,16,0,16,25
2011-2015,Mercer County,West Windsor township,Arizona,Maricopa County,Undefined-Arizona,out of state,Other area location,out-of-town,Data-not-available,9,0,9,14
2011-2015,Mercer County,Hopewell township,California,Orange County,Undefined-California,out of state,Other area location,out-of-town,Data-not-available,17,0,17,26
2011-2015,Mercer County,Lawrence township,California,San Francisco County,San Francisco,out of state,Other area location,out-of-town,Data-not-available,26,0,26,30
2011-2015,Mercer County,Princeton,California,San Francisco County,San Francisco,out of state,Other area location,out-of-town,Data-not-available,9,0,9,14
2011-2015,Mercer County,Hamilton township,Connecticut,Fairfield County,Stamford town,out of state,Other area location,out-of-town,Data-not-available,12,0,12,20
2011-2015,Mercer County,Hopewell borough,Connecticut,Litchfield County,New Hartford town,out of state,Other area location,out-of-town,Data-not-available,4,0,4,5
2011-2015,Mercer County,Princeton,Connecticut,Fairfield County,Stamford town,out of state,Other area location,out-of-town,Data-not-available,15,0,15,24
2011-2015,Mercer County,West Windsor township,Connecticut,Fairfield County,Danbury town,out of state,Other area location,out-of-town,Data-not-available,5,0,5,9
2011-2015,Mercer County,West Windsor township,Connecticut,Fairfield County,Shelton town,out of state,Other area location,out-of-town,Data-not-available,53,0,53,82
2011-2015,Mercer County,West Windsor township,Connecticut,Fairfield County,Stamford town,out of state,Other area location,out-of-town,Data-not-available,9,0,9,14
2011-2015,Mercer County,Ewing township,Delaware,New Castle County,Wilmington,out of state,Other area location,out-of-town,Data-not-available,27,0,27,31
2011-2015,Mercer County,Robbinsville township,Delaware,New Castle County,Wilmington,out of state,Other area location,out-of-town,Data-not-available,38,0,38,31
2011-2015,Mercer County,Trenton city,Delaware,New Castle County,Wilmington,out of state,Other area location,out-of-town,Data-not-available,10,0,10,15
2011-2015,Mercer County,West Windsor township,Delaware,New Castle County,Wilmington,out of state,Other area location,out-of-town,Data-not-available,10,0,10,16
2011-2015,Mercer County,East Windsor township,District of Columbia,District of Columbia,"Washington, DC",out of state,Other area location,out-of-town,Data-not-available,16,0,16,27
2011-2015,Mercer County,Hamilton township,District of Columbia,District of Columbia,"Washington, DC",out of state,Other area location,out-of-town,Data-not-available,34,0,34,31
2011-2015,Mercer County,Princeton,District of Columbia,District of Columbia,"Washington, DC",out of state,Other area location,out-of-town,Data-not-available,9,0,9,14
2011-2015,Mercer County,East Windsor township,Florida,Miami-Dade County,Miami,out of state,Other area location,out-of-town,Data-not-available,21,0,21,39
2011-2015,Mercer County,Hamilton township,Florida,Lee County,Undefined-Florida,out of state,Other area location,out-of-town,Data-not-available,11,0,11,19
2011-2015,Mercer County,Trenton city,Florida,Martin County,Undefined-Florida,out of state,Other area location,out-of-town,Data-not-available,10,0,10,15
2011-2015,Mercer County,Hamilton township,Illinois,Adams County,Undefined-Illinois,out of state,Other area location,out-of-town,Data-not-available,8,0,8,12
2011-2015,Mercer County,East Windsor township,Maryland,Harford County,Aberdeen township,out of area,NJ-Shore,out-of-town,Data-not-available,8,0,8,14
2011-2015,Mercer County,Hamilton township,Maryland,Frederick County,Frederick,out of state,Other area location,out-of-town,Data-not-available,10,0,10,16
2011-2015,Mercer County,Hamilton township,Maryland,Harford County,Aberdeen township,out of area,NJ-Shore,out-of-town,Data-not-available,13,0,13,23
2011-2015,Mercer County,Hamilton township,Maryland,Montgomery County,Undefined-Maryland,out of state,Other area location,out-of-town,Data-not-available,18,0,18,28
2011-2015,Mercer County,Hamilton township,Maryland,Baltimore city,Baltimore,out of state,Other area location,out-of-town,Data-not-available,13,0,13,25
2011-2015,Mercer County,Hopewell township,Maryland,Anne Arundel County,Annapolis,out of state,Other area location,out-of-town,Data-not-available,18,0,18,30
2011-2015,Mercer County,Hopewell township,Maryland,Baltimore city,Baltimore,out of state,Other area location,out-of-town,Data-not-available,17,0,17,26
2011-2015,Mercer County,Lawrence township,Maryland,Prince George's County,Undefined-Maryland,out of state,Other area location,out-of-town,Data-not-available,16,0,16,25
2011-2015,Mercer County,Princeton,Maryland,Anne Arundel County,Annapolis,out of state,Other area location,out-of-town,Data-not-available,15,0,15,24
2011-2015,Mercer County,Princeton,Maryland,Harford County,Aberdeen,out of state,Other area location,out-of-town,Data-not-available,12,0,12,21
2011-2015,Mercer County,West Windsor township,Maryland,Anne Arundel County,Annapolis,out of state,Other area location,out-of-town,Data-not-available,12,0,12,19
2011-2015,Mercer County,West Windsor township,Maryland,Baltimore city,Baltimore,out of state,Other area location,out-of-town,Data-not-available,15,0,15,23
2011-2015,Mercer County,Princeton,Massachusetts,Middlesex County,Cambridge city,out of state,Other area location,out-of-town,Data-not-available,13,0,13,15
2011-2015,Mercer County,Princeton,Massachusetts,Norfolk County,Wellesley town,out of state,Other area location,out-of-town,Data-not-available,4,0,4,6
2011-2015,Mercer County,West Windsor township,Michigan,Washtenaw County,Ypsilanti city,out of state,Other area location,out-of-town,Data-not-available,15,0,15,24
2011-2015,Mercer County,West Windsor township,Minnesota,Hennepin County,Minneapolis city,out of state,Other area location,out-of-town,Data-not-available,13,0,13,20
2009-2013,Mercer County,East Windsor township,New Jersey,Burlington County,Moorestown township,out of area,NJ-Southwest,out-of-town,"Car, truck, or van: Drove alone",116,0,116,87
2009-2013,Mercer County,East Windsor township,New Jersey,Essex County,Livingston township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",11,0,11,17
2009-2013,Mercer County,East Windsor township,New Jersey,Essex County,Livingston township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Carpooled",50,0,50,76
2009-2013,Mercer County,East Windsor township,New Jersey,Essex County,Livingston township,out of area,NJ-NorthEast,out-of-town,Public transportation,18,0,18,30
2009-2013,Mercer County,East Windsor township,New Jersey,Essex County,Newark city,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",91,0,91,60
2009-2013,Mercer County,East Windsor township,New Jersey,Essex County,Newark city,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Carpooled",30,0,30,45
2009-2013,Mercer County,East Windsor township,New Jersey,Essex County,Newark city,out of area,NJ-NorthEast,out-of-town,Public transportation,36,0,36,42
2009-2013,Mercer County,East Windsor township,New Jersey,Hudson County,Jersey City city,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",18,0,18,29
2009-2013,Mercer County,East Windsor township,New Jersey,Hudson County,Jersey City city,out of area,NJ-NorthEast,out-of-town,Public transportation,62,0,62,44
2009-2013,Mercer County,East Windsor township,New Jersey,Hudson County,Secaucus town,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",11,0,11,18
2009-2013,Mercer County,East Windsor township,New Jersey,Hudson County,Secaucus town,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Carpooled",18,0,18,29
